2024-01-02	15:14:27	427178d5-18db-408d-9660-7d75139534e6	log event emitted!!
2024-01-02	15:14:45	4c080f22-7e26-44cd-85e2-f2523fb6fbc9	log event emitted!!
2024-01-02	15:24:41	e1b5d5c1-2204-4ccc-8e0f-27ee915b39a3	log event emitted!!
2024-01-02	15:24:50	b5feb5ee-d98d-4a9e-857b-4250f028b5e4	log event emitted!!
2024-01-02	15:25:16	fd4a27ed-6ae7-493f-bd9e-40a42c66fdbf	log event emitted!!
2024-01-07	00:54:13	7c9a7cf1-3f21-499e-944b-25b77e6539f4	GET	 undefined	 /index.html
2024-01-07	00:54:15	e5106eb4-a032-498a-9539-a64f1cbe7607	GET	 undefined	 /css/style.css
2024-01-07	00:59:23	e82fe281-253f-4490-b91f-c6499632932c	GET	 undefined	 /index.html
2024-01-07	00:59:24	1d86c354-8551-4646-acd1-c4c495b6be1b	GET	 undefined	 /css/style.css
2024-01-07	01:03:19	566737aa-b45c-405a-965d-8256fdadaf3a	GET	 undefined	 /
2024-01-07	01:04:13	5fab0f95-1cff-496c-b27d-f647aa848af3	GET	 undefined	 /
2024-01-07	01:16:32	59c3e906-ef05-4933-ba74-4794f6785f35	GET	 undefined	 /
2024-01-07	01:16:33	6b5581f6-56a2-4e1a-b7b5-b7eafd5f234a	GET	 undefined	 /css/style.css
2024-01-07	01:16:34	ca4ca2d3-6dc1-4ac5-a70f-f576713eb8bd	GET	 undefined	 /favicon.ico
2024-01-07	01:17:10	898ef4e5-35e5-48c9-bd50-c7b21043972f	GET	 undefined	 /
2024-01-07	01:20:37	d3b88ba3-d816-4343-bef5-31247114b427	GET	 undefined	 /
2024-01-07	01:20:38	9ed32353-016c-4606-a8f3-01f44abe5d39	GET	 undefined	 /css/style.css
2024-01-07	01:20:47	0c1c72a8-dee7-43a0-8551-1c8281850179	GET	 undefined	 /
2024-01-07	01:25:48	76eb21a2-5f55-4ac3-888a-87278feb0439	GET	 undefined	 /
2024-01-07	02:17:34	2607839a-28c5-4cb2-ac38-ddd19363b7de	GET	 undefined	 /
2024-01-07	02:18:34	0d27fd8a-aaa4-43c0-8afd-db7a1d025b10	GET	 undefined	 /
2024-01-07	02:21:14	301fd099-b6c4-4a78-80b7-956d74d5c88d	GET	 undefined	 /
2024-01-07	02:21:15	38f7efb8-7bb8-4394-8a04-c12d824294d5	GET	 undefined	 /css/style.css
2024-01-07	02:22:00	a1866acf-7fa5-4df5-bd47-e75de36a3dde	GET	 undefined	 /
2024-01-07	02:37:12	6fdee5f8-f11f-4330-a55f-5b0a2b5a1bbb	GET	 undefined	 /
2024-01-07	02:37:12	cc01d2fe-9c85-43e1-ab3a-9eaad099ca6c	GET	 undefined	 /css/style.css
2024-01-07	02:37:21	9daaf99a-13ad-4dcf-aeff-85225c99d1f2	GET	 undefined	 /
2024-01-07	02:39:12	cf116266-0ea5-4798-9cc5-d75a1f456c44	GET	 undefined	 /
2024-01-07	02:39:12	f5af593e-a036-4fc3-be0d-c477860b1b5a	GET	 undefined	 /css/style.css
2024-01-07	02:42:04	b226d0f0-202a-4fba-8342-9eb331c65522	GET	 undefined	 /
2024-01-07	02:42:04	ca9ec648-648a-47a9-8a38-b3369a62ab59	GET	 undefined	 /css/style.css
2024-01-07	02:42:35	a9cb2ac6-b3ea-4923-aaa8-70f75cf81635	GET	 undefined	 /
2024-01-07	02:42:35	6a58f172-cdfc-4e4d-9739-94ac3241783e	GET	 undefined	 /css/style.css
2024-01-07	15:03:19	af4ee56c-6585-48e6-bfd0-42121df099e9	GET	 undefined	 /
2024-01-07	15:03:21	11c24534-6604-4e46-ad97-d35d06beb48b	GET	 undefined	 /css/style.css
2024-01-07	15:03:33	e12a8087-c1e7-4ab7-932b-b9fc3afeeaa4	GET	 undefined	 /subdir
2024-01-07	15:03:48	62353276-5bc5-47e7-8732-eb1d85552da6	GET	 undefined	 /subdir/test
2024-01-07	15:03:54	d5f9e8be-c91e-4deb-8544-224fe866fcc0	GET	 undefined	 /subdir/test12
2024-01-07	15:03:55	ec6d1dae-d5bb-4ec3-9242-a7b0017c2df9	GET	 undefined	 /css/style.css
2024-01-07	15:04:15	4fac90d7-3370-4f58-a635-a1004b1eb844	GET	 undefined	 /ssdsa
2024-01-07	15:04:15	92f1ce14-5685-4767-8144-4944e017a6ea	GET	 undefined	 /css/style.css
2024-01-07	15:04:20	e6ad228c-2cc9-4240-b8b1-a0f563cc9bf3	GET	 undefined	 /
2024-01-07	15:04:21	56fc9641-a6be-4094-b411-a443fda2752b	GET	 undefined	 /css/style.css
2024-01-07	15:05:58	6d7e28ae-8981-4d9c-ab3d-75ab76d3f655	GET	 undefined	 /subdir/test22
2024-01-07	15:05:59	e4b6c212-e071-4aac-93fb-6b282364cf16	GET	 undefined	 /css/style.css
2024-01-07	15:27:00	5f32cf1a-8aeb-457d-9874-e6a7e10dbbad	GET	 undefined	 /
2024-01-07	15:27:01	cad64652-046a-4932-96bc-e76af5244d69	GET	 undefined	 /css/style.css
2024-01-07	15:27:41	d0d1d0b0-eb6f-4311-bf3b-f1636155826b	GET	 undefined	 /new-page
2024-01-07	15:27:41	8f2aaf11-8f45-4ec0-9153-c53a887f4e70	GET	 undefined	 /css/style.css
2024-01-07	15:27:41	41cdbb5b-b718-4847-9c50-ed1cb7bbce4c	GET	 undefined	 /img/img1.jpg
2024-01-07	15:28:17	2de598fb-0e7e-45a8-aec3-6f19ca314003	GET	 undefined	 /oldpage
2024-01-07	15:28:17	10ea6a4d-2c41-4ab3-bfe0-4daa67afb9b5	GET	 undefined	 /css/style.css
2024-01-07	15:28:21	23666301-f427-4a17-978d-318954fa6524	GET	 undefined	 /old-page
2024-01-07	15:28:21	7e2bca3f-c360-4536-9656-5b7835f56165	GET	 undefined	 /new-page.html
2024-01-07	15:28:21	603b907e-012b-49ed-a6d7-0c39d9496192	GET	 undefined	 /css/style.css
2024-01-07	15:28:21	33b33360-6dc1-4561-932c-5e56bc485f27	GET	 undefined	 /img/img1.jpg
2024-01-07	15:28:34	c58c8d93-3612-4b4e-bae1-6c28ac429880	GET	 undefined	 /index
2024-01-07	15:28:34	3aefcd12-deb7-49c7-8844-4e228379990d	GET	 undefined	 /css/style.css
2024-01-07	16:25:09	11d61a50-d658-429e-9484-47bc781e143f	GET	 undefined	 /employees
2024-01-07	16:30:22	1721345b-6d5a-408a-9d16-f09d349ba514	GET	 undefined	 /index
2024-01-07	16:30:23	3456a69e-89af-4eae-ab92-39b532bcb825	GET	 undefined	 /css/style.css
2024-01-07	16:30:41	2fa55e12-141b-41b1-a299-d80f06f33cc5	GET	 undefined	 /index
2024-01-07	16:30:42	d2e6569e-cbb2-4809-927e-d84634a9536e	GET	 undefined	 /css/style.css
2024-01-07	16:31:11	cc9d662e-b7cb-48f3-b65b-35c89f8c413c	GET	 undefined	 /employees2
2024-01-07	16:31:20	21f852b7-9ca6-49a9-873d-a52da427f8a4	GET	 undefined	 /employees
2024-01-07	16:31:26	51b59ffe-c24b-48f7-b160-5d84b9b708aa	GET	 undefined	 /employees1
2024-01-07	16:31:30	272a11e5-58b7-43ea-852e-74210147e29c	GET	 undefined	 /employees
2024-01-07	16:33:34	82a2dacf-10a6-4680-9ce0-d4f5dd7a983c	POST	 undefined	 /employees
2024-01-07	16:35:12	95de265f-86e7-4960-8586-2d92807e174a	POST	 undefined	 /employees
2024-01-07	16:35:23	feb7e7c6-73d4-4be3-9294-f6f43a12855d	POST	 undefined	 /employees
2024-01-07	19:13:28	73226675-48f9-42da-9ab5-f971fff1a9dc	PUT	 undefined	 /employees
2024-01-07	19:14:42	eb23db46-0bd6-41ef-a987-df3e2b2cee7c	PUT	 undefined	 /employees
2024-01-07	19:15:56	6ff9e41a-9c59-4c6c-b784-fcd08f62284b	DELETE	 undefined	 /employees
2024-01-07	19:16:28	54c6b591-21c0-47a2-91fd-695841e37507	GET	 undefined	 /employees/1
2024-01-07	19:17:24	cb9d5580-ddf9-4115-9885-c968c43eccb8	GET	 undefined	 /employees/1
